источники;Sources;来源
угловая скорость внутренней планеты, рад/с;The angular velocity of the inner planet, rad / s;内行星的角速度，rad/s
момент внутренней планеты, н·;Moment of the inner planet, N · m;内行星矩，N·m
угловая внешней планеты, рад/;Corner of the outer planet, rad / s;外行星一角，rad/s
момент внешней планеты, н·;Moment of the outer planet, N · m;外行星矩，N·m
угловая скорость солнца, рад/;Angular velocity of the sun, rad / s;太阳角速度，rad/s
момент солнца, н·м;Moment of the sun, N · m;太阳矩，N·m
угловая планеты водила, рад/;Corner of the planet drove, rad / s;行星一角行驶，rad/s
угловая скорость червяка, рад/;Angular speed of the worm, rad / s;蜗杆的角速度，rad/s
момент на червяке, н·м;Moment on the worm, N · m;蜗杆上的力矩，N·m
момент на звезде, н·м;Moment on the star, N · m;恒星上的矩，N·m
момент на водиле, н·м;Moment on the carrier, N · m;载体上的力矩，N·m
угловая обода, рад/с;Corner rim, rad /;角缘，弧度 /
угловая скорость ведущего колеса, рад/с;The angular velocity of the driving wheel, rad / s;驱动轮角速度，rad/s
момент на ведущем колесе, н·м;Moment on the drive wheel, N ·;驱动轮上的力矩，N·
угловая скорость ведомого колеса, рад/;Angular velocity of the driven wheel, rad / s;从动轮角速度，rad/s
момент на ведомом колесе, н·;Moment on the driven wheel, N · m;从动轮上的力矩，N·m
скорость рейки, м/с;Rack speed, m / s;机架速度，米/秒
сила на рейке, н;Force on the rail, H;作用在导轨上的力，H
угловая скорость шестерни, рад/с;Angular speed of gear, rad / s;齿轮角速度，rad/s
момент на шестерне, н·м;Moment on the gear, N · m;齿轮上的力矩，N·m
момент водила, н*м;The moment of the carrier, n *;载体矩，n *
угловая скорость левой звездочки, рад/;Angular velocity of the left star, rad / s;左星角速度，rad/s
момент левой звездочки, н*;The moment of the left star, n * m;左星矩，n * m
угловая скорость правой звездочки, рад/;Angular velocity of right star, rad / s;右星角速度，rad/s
момент правой звездочки, н*;The moment of the right star, n *;右星时刻，n *
угловая скорость звездочки, рад/;Angular speed of an asterisk, rad / s;星号的角速度，rad/s
момент звездочки, н·м;Moment of an asterisk, N · m;星号矩，N·m
угловая скорость большой звездочки, рад/с;The angular velocity of the large asterisk, rad / s;大星号的角速度，rad/s
момент большой звездочки, н·;The moment of a large asterisk, N ·;大星号的时刻，N·
угловая скорость малой звездочки, рад/;Angular velocity of small asterisk, rad / s;小星号的角速度，rad/s
момент малой звездочки, н·м;Small sprocket moment, N ·;小链轮力矩，N·
угловая скорость внешней планеты, рад/с;The angular velocity of the outer planet, rad / s;外行星的角速度，rad/s
угловая скорость винта, рад/;Angular velocity of the propeller, rad / s;螺旋桨角速度，rad/s
момент на винте, н*м;The moment on the screw, n * m;螺杆上的力矩，n * m
скорость гайки, м/с;Nut speed, m / s;螺母速度，米/秒
сила на гайке, н;Strength on the nut, n;螺母上的强度，n
момент на червяке, н*м;Moment on the worm, n * m;蠕虫上的力矩，n * m
момент на шестерне, н*м;The moment on the gear, n * m;齿轮上的力矩，n * m
небаланс мощности, вт;Unbalance of power, W;功率不平衡，W
сила трения, н;Frictional force, N;摩擦力，N
мощность на трение, вт;Frictional power, W;摩擦功率，W
признак сцепления;Symptom of adhesion;粘连症状
относительная скорость, рад/с;Relative speed, rad / s;相对速度，弧度/秒
угол поворота ведущего вала, ра;Angle of rotation of drive shaft, rad;驱动轴旋转角度，rad
скольжение, м/с;Slip, m / s;滑移，米/秒
угловая скорость порт b, рад/с;Angular speed of port B, rad / s;B口角速度，rad/s
момент порт b, н*м;The moment of port B, n * m;B口力矩，n * m
угловая скорость порт f, рад/с;Angular speed port F, rad / s;端口角速度F，rad/s
момент порт f, н*м;The moment of port F, n * m;F口力矩，n * m
wb-wf, рад/с;Wb-Wf, rad / s;Wb-Wf，弧度/秒
момент трения, н*м;Frictional moment, n * m;摩擦力矩，n * m
момент порт b, н·м;Moment of port B, N · m;B口力矩，N·m
момент порт f, н·м;Moment of port F, N · m;F口力矩，N·m
сила порт а, н;The power of port A, H;A、H口电源
скорость порт а, м/с;Speed ​​Port A, m /;A口速度，米/
угловая скорость звездочки a, рад/;The angular velocity of the asterisk A, rad / s;星号A的角速度，rad/s
момент звездочка a, н*м;The moment asterisk A, н *;星号 A 时刻，н *
угловая скорость звездочка b, рад/;The angular velocity of the asterisk B, rad / s;星号B的角速度，rad/s
момент звездочка b, н*м;The moment asterisk B, н * м;星号 B 时刻，н * м
сила натяжения, н;Tension force, N;张力，N
скорость натяжения, м/с;Speed ​​of tension, m / s;张力速度，m/s
натяжение, м;Tension, m;张力，米
скорость ремня, м/с;Belt speed, m / s;皮带速度，米/秒
натяжение ремня, н;Belt tension, N;皮带张力，N
момент шкив а, н·м;Pulley moment A, N · m;滑轮力矩A、N·m
угловая скорость шкив а, рад/;The angular velocity of the pulley A, rad / s;滑轮的角速度A，rad/s
момент шкив b, н·м;Pulley moment B, N · m;滑轮力矩B、N·m
угловая скорость шкив b, рад/;The angular velocity of the pulley B, rad / s;滑轮B的角速度，rad/s
скорость порт f, м/с;Speed ​​port F, m / s;速度口F，m/s
сила порт f, н;Power port F, N;电源接口F、N
положение, рад;Situation, happy;情况，幸福
скорость протектора шины, м/с;Tire tread speed, m / s;轮胎胎面速度，米/秒
продольная сила на протектор,;Longitudinal force on the protector, N;保护器上的纵向力，N
скорость ступицы, м/с;Hub speed, m / s;轮毂速度，米/秒
продольная сила на ступицу, н;Longitudinal force on the hub, H;轮毂上的纵向力，H
коэффициент скольжения;Coefficient of sliding;滑动系数
динамика ла - полное движение на языке программировани;Dynamics of aircraft - Full movement in the programming language;飞机动力学 - 编程语言的完整运动
динамика ла - полное движени;Dynamics of aircraft - Full movement;飞机动力学 - 全运动
динамика ла - полное движение с учетом вращения земли;Dynamics of aircraft - Full motion taking into account the rotation of the Earth;飞机动力学 - 考虑地球自转的全运动
динамика ла - полная система уравнений движения с  использованием кинематических уравнений в параметрах родрига-гамильтона;Dynamics of aircraft - A complete system of equations of motion using kinematic equations in the Rodrig-Hamilton parameters;飞机动力学 - 使用 Rodrig-Hamilton 参数中的运动学方程的完整运动方程组
скорость;Speed;速度
наклон траектории;The slope of the trajectory;轨迹的斜率
угол поворота траектории;Turning angle of trajector;轨迹线转角
угловая скорость относительно связанной оси x1;The angular velocity with respect to the coupled axis X;相对于耦合轴 X 的角速度
угловая скорость относительно связанной оси y1;Angular velocity with respect to the coupled Y1 axi;相对于耦合 Y1 轴的角速度
угловая скорость относительно связанной оси z1;The angular velocity with respect to the coupled axis Z1;相对于耦合轴 Z1 的角速度
рысканье;Yaw;偏航
тангаж;Tangage;沥青
крен;Bank;银行
начальная угловая скорость;Initial angular velocit;初始角速度
начальное значение угла поворота таректории;The initial value of the rotation angle of the tenter;拉幅机旋转角度初始值
начальное значение угла рысканья;Initial yaw angle valu;初始偏航角值
начальное значение скорости вращения;Initial value of rotation spee;转速初始值
начальное значение бокового смещени;Starting value of lateral displacement;横向位移起始值
расстояние от центра давления управляющих органов до центра масс лда;The distance from the center of the pressure of the control organs to the center of mass of the LD;控制机构压力中心到LD质心的距离
плозадь необходимая для определения момента my;The plane needed to determine the moment of My;飞机需要确定我的时刻
начальный угол поворота траектори;The starting angle of the trajectory;轨迹起始角度
начальная скорость;starting spee;起始速度
начальный угол наклона траектори;Initial angle of inclination of the trajector;轨迹的初始倾斜角
начальная скорость углового движени;Initial velocity of angular motion;角运动初速度
начальное значение тангажа;Initial value of pitch;螺距初始值
начальная скорость полета;Initial flight speed;初始飞行速度
начальный угол тангажа;Initial pitch angle;初始俯仰角
начальная угловая скорость wz10;Initial angular velocity wz10;初始角速度 wz10
начальная высота h0;Initial height H0;初始高度H0
начальная дальность l0;Initial range L0;初始范围L0
переключатель для перехода от полных уравнений движения (swfg=1) к уравнениям короткопериодического движения (swfg=0);switch for transition from complete equations of motion (Swfg = 1) to equations of short-period motion (Swfg = 0;切换从完整运动方程 (Swfg = 1) 到短周期运动方程 (Swfg = 0) 的转换
плозадь необходимая для определения момента m;The plane needed to determine the moment Mz;确定力矩 Mz 所需的平面
начальный угол наклона;Initial inclination angle;初始倾斜角
teta, рад;Teta, rad;阿姨，上班啦
внешнее ограничение;External constraint;外部约束
ограничение макс.;Limitation of max.;最大限制
ограничение мин.;Limitation of min.;分钟限制
коэфф. пропорциональный;Coefficient. proportional;系数。成比例的
коэфф. интегральный;Coefficient. integral;系数。不可缺少的
разрядность ацп;ADC resolution;ADC分辨率
максимальное значение uвх [в];The maximum value of Uin [V;Uin的最大值[V
максимальное значение преобр. величины [си];The maximum value of the trans. the values ​​of [si];反式的最大值。 [si] 的值
максимальное значение iвх [а];The maximum value of Iin [A];Iin 的最大值[A]
нормирующая величина;The normalizing quantity;正火量
период шим [c];PWM period [c];脉宽调制周期[c]
амплитуда шим;PWM amplitude;脉宽调制幅度
время защ. паузы;Time def. pauses;时间定义。停顿
постоянная времени фильтра [с;The time constant of the filter [s];滤波器的时间常数[s]
максимальное u выхода [b];Maximum output U [B];最大输出U [B]
максимальный ток [а];The maximum current [A];最大电流[A]
максимальное значение величины;The maximum value of the valu;值的最大值
максимальное напряжение выхода [b];Maximum output voltage [B];最大输出电压[B]
разрядность;Bit depth;位深度
время задержки [с];Delay time [s];延迟时间[秒]
сопротивление статора [ом];Stator resistance [Ohm];定子电阻 [欧姆]
сопротивление ротора [ом];Rotor resistance [Ohm;转子电阻 [欧姆
индуктивность намагничивания [гн];Inductance of magnetization [H];磁化电感 [H]
индуктивность рассеяния ротора [гн;Inductance of rotor scattering [H;转子散射电感[H
индуктивность рассеяния статора [гн];Stator leakage inductance [H];定子漏感[H]
число пар полюсов двигател;Number of pole pairs of the motor;电机极对数
нормирующее значение тока [а;The normalizing current value [A];归一化电流值[A]
нормирующее напряжение (напряжение звена постоянного тока) [b];Normalizing voltage (DC link voltage) [B];归一化电压（直流母线电压）[B]
нормирующее значение момента  ([н*м] или [отн.ед.]);The normalizing value of the torque ([n * m] or [r.p.];扭矩的标准化值（[n * m] 或 [r.p.]
нормирующее значение тока ([a] или [отн.ед.]);The normalizing value of the current ([A] or [rel.];电流的归一化值（[A] 或 [rel.]
заданное потокосцепление ротора двигателя [вб;Specified rotor flux coupling [Vb];指定转子磁通耦合 [Vb]
сопротивление фазы статора [ом];Stator phase resistance [Ohms];定子相电阻 [欧姆]
индуктивность статора [гн];Stator inductance [H];定子电感[H]
потокосцепление ротора [вб];Rotor linkage [Vb];转子连杆 [Vb]
амплитуда ([в] или [отн. ед.]);Amplitude ([V] or [rel unit]);幅度（[V] 或 [rel 单位]）
период [с];Period [s];期间[s]
максимальное uвх. [b];The maximum Uin. [B];最大Uin。 [乙]
максимальное uвых.  [b];The maximum is Uout. [B];最大值是你的。 [乙]
т фильтра [c];T filter [c;T 滤波器 [c
индуктивность статора по оси q [гн;Stator inductance along the q axis [H;沿 q 轴的定子电感 [H
индуктивность статора по оси d [гн;Stator inductance along the d axis [H];沿 d 轴的定子电感 [H]
потокосцепление ротора [bб];Rotor linkage [Bb];转子连杆 [Bb]
нормирующее значение тока [a;The normalizing current value [A];归一化电流值[A]
нормирующее значение напряжения (напряжение звена постоянного тока) [в];The normalizing value of the voltage (voltage of the DC link) [V];电压标准化值（直流母线电压）[V]
гпс - подпись блока;HPS - Signature of the bloc;HPS - 集团签名
абсолютное давление рабочей среды в полости, па;Absolute pressure of the working medium in the cavity, P;腔内工作介质的绝对压力，P
температура рабочей среды в полости, к;The temperature of the working medium in the cavity, K;腔体内工作介质的温度，K
начальное абсолютное давление рабочей среды в полости, па;Initial absolute pressure of the working medium in the cavity, Pa;腔内工作介质初始绝对压力，Pa
начальная температура рабочей среды в полости, к;The initial temperature of the working medium in the cavity, K;腔内工作介质的初始温度，K
начальный объем полости, м^3;Initial cavity volume, m ^ 3;初始空腔体积，m^3
процесс;Process;过程
рабочая среда;Working environment;工作环境
объем полости, м^3;Volume of cavity, m ^ 3;空腔体积，m^3
коэффициент массового расхода дросселя при прямом токе рабочей среды;Mass flow coefficient of throttle with direct current of working medium;工作介质直流时节流件的质量流量系数
коэффициент массового расхода дросселя при обратном токе рабочей среды;Coefficient of mass flow of the throttle with the return current of the working medium;节流件质量流量与工质回流的系数
диаметр дросселя при прямом токе рабочей среды,;Throttle diameter with direct current of working medium, m;工作介质直流时节流直径，m
диаметр дросселя при обратном токе рабочей среды, м;Throttle diameter at reverse current of working medium, m;工作介质逆流时节流直径，m
определяющий диаметр дросселя,;Determining the diameter of the throttle,;确定节流阀的直径，
критическое значение перемещения регулирующего элемента,;Critical value of the movement of the regulating element, m;调节元件运动的临界值，m
положение регулирующего элемента относительно закрытого состояния дросселя при нулевом перемещении связанного механического элемента, м;The position of the regulating element with respect to the closed state of the throttle when the associated mechanical element is zero,;当相关机械元件为零时，调节元件相对于节气门关闭状态的位置，
вектор значений аргумента (x, м или t, сек или p, па или др.);The vector of the values ​​of the argument (x, m or t, sec or p, Pa, etc.);参数值的向量（x、m 或 t、sec 或 p、Pa 等）
вектор значений площади проходного сечения дросселя, м^2;The vector of the values ​​of the flow area of ​​the throttle, m ^;节流阀流通面积值的向量，m ^
коэффициент вязкого трения, н/(м/с;Coefficient of viscous friction, N / (m / s);粘性摩擦系数，N/(m/s)
вектор значений аргумента функций трения страгивания и кулонова трения;The vector of the argument values ​​of frictional friction functions and Coulomb frictio;摩擦摩擦函数和库仑摩擦的参数值的向量
вектор значений функции кулонова трения,;The vector of values ​​of the Coulomb friction function,;库仑摩擦函数值的向量，
вектор значений функции трения страгивания,;The vector of values ​​of the frictional friction function, H;摩擦力函数值的向量 H
начальное значение аргумента функций трения страгивания и кулонова трения;The initial value of the argument of frictional friction functions and Coulomb friction;摩擦力摩擦函数和库仑摩擦力参数的初始值
вектор значений разности давлений в полостях a и b, па;The vector of values ​​of the difference in pressure in cavities A and B, Pa;腔体 A 和 B 中的压力差值矢量 Pa
начальное значение разности давлений в полостях a и b, п;Initial value of pressure difference in cavities A and B, P;A、B腔压力差初始值、P
начальное перемещение механического элемента,;Initial movement of the mechanical element,;机械元件的初始运动，
мертвый" объем поршневой полости, м^3;Dead" volume of the piston cavity, m ^;活塞腔的死体积，m^
мертвый" объем штоковой полости, м^;Dead" volume of the rod cavity, m ^ 3;杆腔死体积，m^3
начальное абсолютное давление рабочей среды в поршневой полости, па;Initial absolute pressure of the working medium in the piston cavity, Pa;活塞腔内工作介质初始绝对压力，Pa
начальное абсолютное давление рабочей среды в штоковой полости, па;Initial absolute pressure of the working medium in the rod cavity, Pa;杆腔内工作介质初始绝对压力，Pa
температура рабочей среды в полостях, градусы цельсия;Working medium temperature in cavities, degrees Celsius;腔内工作介质温度，摄氏度
максимальный ход штока, м;Maximum stroke of the rod, m;杆最大行程，m
начальный ход штока, м;Initial stroke of the rod, m;杆的初始行程，m
начальная скорость штока, м/с;Initial rod speed, m / s;初始杆速度，米/秒
площадь поршня, на которую действует давление в поршневой полости, м^2;The area of ​​the piston, on which pressure acts in the piston cavity, m ^ 2;活塞腔内压力作用的活塞面积，m^2
площадь поршня, на которую действует давление в штоковой полости, м^2;The area of ​​the piston, which is acted upon by pressure in the rod cavity, m ^;活塞杆腔内压力作用的活塞面积，m ^
контактная жесткость упоров штока, н/;Contact stiffness of rod stops, N / m;杆挡块的接触刚度，N / m
абсолютное давление окружающей среды, па;Absolute pressure of the environment, Pa;环境绝对压力，Pa
трение в уплотнении поршня;Friction in the piston seal;活塞密封件中的摩擦
начальное значение разности давлений в полостях, п;Initial value of the difference in pressure in cavities, Pa;腔内压差初始值，Pa
вектор значений аргумента функций трения страгивания и кулонова трения, па;Vector of the values ​​of the argument of friction friction functions and Coulomb friction, Pa;摩擦力函数参数和库仑摩擦力值的向量，Pa
трение в уплотнении штока;Friction in the stem seal;阀杆密封中的摩擦
начальное значение разности давлений в штоковой полости и окружающей среде, па;Initial value of pressure difference in the stem cavity and the environment, Pa;阀杆腔内与环境压力差初始值，Pa
масса штока первой ступени, кг;Weight of the rod of the first stage, k;第一级杆的重量，k
максимальный ход штока первой ступени относительно корпуса, м;Maximum stroke of the first stage stem relative to the body,;第一级阀杆相对于阀体的最大行程，
максимальный ход штока второй ступени относительно корпуса, м;Maximum travel of the second stage stem relative to the body,;第二级阀杆相对于阀体的最大行程，
начальный ход штока первой ступени относительно корпуса,;Initial stroke of the first stage rod relative to the body,;第一级杆相对于本体的初始行程，
начальный ход штока второй ступени относительно корпуса, м;Initial stroke of the second stage stem relative to the body, m;第二级阀杆相对于阀体的初始行程，m
начальная скорость штока первой ступени относительно корпуса, м/;Initial speed of the first stage rod relative to the body, m / s;第一级杆相对于本体的初速度，m/s
начальная скорость штока второй ступени относительно корпуса, м/с;Initial speed of the second stage stem relative to the body, m / s;第二级阀杆相对于本体的初速度，m/s
сила сухого трения страгивания на штоке первой ступени, н;The strength of dry friction friction on the rod of the first stage, H;第一级杆上的干摩擦力，H
сила сухого трения страгивания на штоке второй ступени, н;The force of dry friction friction on the rod of the second stage, H;第二级杆上的干摩擦力，H
сила сухого трения движения на штоке первой ступени, н;The force of dry friction of movement on the rod of the first stage, H;第一级杆上运动的干摩擦力，H
сила сухого трения движения на штоке второй ступени, н;The force of dry friction of movement on the rod of the second stage,;第二级杆上运动的干摩擦力，
коэффициент вязкого трения на штоке первой ступени, н/(м/с);Coefficient of viscous friction on the rod of the first stage, N / (m / s;第一级杆上的粘性摩擦系数，N/(m/s
коэффициент вязкого трения на штоке второй ступени, н/(м/с);Coefficient of viscous friction on the rod of the second stage, N / (m / s);第二级杆上的粘性摩擦系数，N/(m/s)
площадь штока первой ступени, на которую действует давление в поршневой полости, м^2;The area of ​​the first stage rod, on which the pressure in the piston cavity acts, m ^ 2;活塞腔内压力作用的第一级杆的面积，m^2
площадь штока первой ступени, на которую действует давление в штоковой полости, м^2;The area of ​​the first stage rod, on which the pressure in the rod cavity acts, m ^ 2;杆腔内压力作用的第一级杆的面积，m^2
площадь штока второй ступени, на которую действует давление в поршневой полости, м^2;The area of ​​the second stage rod, on which pressure acts in the piston cavity, m ^ 2;活塞腔内压力作用的第二级杆的面积，m^2
площадь штока второй ступени, на которую действует давление в штоковой полости, м^2;The area of ​​the rod of the second stage, on which the pressure in the rod cavity acts, m ^;第二级杆腔内压力作用的面积，m^
контактная жесткость упоров штоков, н/;Contact stiffness of rod stops, N /;杆挡块的接触刚度，N /
коэффициент расхода при турбулентном режим;Coefficient of flow in turbulent mode;湍流模式下的流动系数
вектор значений перемещения золотника,;Vector values ​​of displacement of the spool, m;阀芯位移矢量值，m
вектор значений площади проходного сечения затвора, м^2;The vector of values ​​of the area of ​​the passage section of the shutter, m ^ 2;百叶窗通道截面面积值的向量，m ^ 2
вектор значений смоченного периметра проходного сечения затвора, м;The vector of wetted perimeter values ​​of the gate cross section,;浇口横截面的湿周长值的向量，
максимальное перемещение золотника,;Maximum displacement of the spool, m;阀芯最大位移，m
площадь золотника, на которую действует давление на входе "a", м^2;The area of ​​the spool, which is acted upon by pressure at the inlet "A", m ^ 2;入口“A”处压力作用的阀芯面积，m ^ 2
площадь золотника, на которую действует давление на входе "b", м^2;The area of ​​the spool, which acts on the inlet pressure "B", m ^ 2;作用于入口压力“B”的阀芯面积，m^2
усилие пружины при нулевом перемещении золотника,;Spring force with zero spool travel, N;零阀芯行程时的弹簧力，N
жесткость пружины, н/м;Spring stiffness, N / m;弹簧刚度，N/m
критическое число рейнольдса;Critical Reynolds numbe;临界雷诺数
диаметр проходного сечения линии p-a, м;Diameter of the cross-section of the line P-A,;线 P-A 的横截面直径，
коэффициент расхода линии p-a при турбулентом режиме течения;The coefficient of flow rate of the P-A line under turbulent flow condition;湍流条件下P-A线的流量系数
диаметр проходного сечения линии p-b, м;Diameter of the cross-section of the line P-B,;线 P-B 的横截面直径，
коэффициент расхода линии p-b при турбулентом режиме течени;Flow coefficient of the P-B line under turbulent flow condition;湍流条件下P-B线的流量系数
диаметр проходного сечения линии p-t, м;Diameter of the cross-section of the P-T line,;P-T 线横截面的直径，
коэффициент расхода линии p-t при турбулентом режиме течени;The P-T flow rate coefficient under turbulent flow condition;湍流条件下的P-T流量系数
диаметр проходного сечения линии a-t, м;Diameter of the cross-section of the line A-T,;线 A-T 的横截面直径，
коэффициент расхода линии a-t при турбулентом режиме течения;The coefficient of discharge of the line A-T under turbulent flow condition;湍流条件下A-T线的流量系数
диаметр проходного сечения линии b-t, м;Diameter of the cross-section of the line B-T,;线 B-T 的横截面直径，
коэффициент расхода линии b-t при турбулентом режиме течения;The coefficient of flow of the B-T line under turbulent flow conditions;湍流条件下B-T线的流动系数
критическое число рейнолдьса;Critical Reynolds number;临界雷诺数
коэффициент расхода линии p-a;Line consumption factor P-A;线路消耗系数 P-A
коэффициент расхода линии a-t;A-T line consumption factor;A-T线路消耗系数
диаметр проходного сечения, м;Diameter of a passage section,;通道截面直径，
номинальный объем, м^3;Nominal volume, m ^;标称体积，m ^
мертвый объем" газовой полости, м^;Dead volume" of the gas cavity, m ^;气腔死体积”，m^
мертвый" объем жидкостной полости, м^;Dead" volume of a liquid cavity, m ^ 3;液腔的死体积，m^3
площадь поршня, м^2;Piston area, m ^ 2;活塞面积，m^2
масса поршня, кг;Piston mass, kg;活塞质量，公斤
диаметр входного отверстия, м;Diameter of the inlet, m;进口直径，m
давление страгивания поршня, п;Pressure of friction of the piston, P;活塞摩擦压力，P
коэффициент вязкого трения поршня, н/(м/с;Coefficient of viscous friction of the piston, N / (m / s;活塞粘性摩擦系数，N/(m/s
давление зарядки (абсолютное), па;Charging pressure (absolute), Pa;充气压力（绝对），Pa
температура зарядки, к;Charging temperature, K;充电温度，K
начальное давление рабочей жидкости (абсолютное), па;Initial pressure of working fluid (absolute), Pa;工作液初始压力（绝对），Pa
температура рабочей жидкости, к;Working fluid temperature, K;工作流体温度，K
рабочая жидкость;Working fluid;工作液
рабочий газ;Working gas;工作气体
тип рабочего процесса;Workflow typ;工作流程类型
электрическое сопротивление обмотки, о;Electrical resistance of winding, Ohm;绕组电阻，欧姆
угол конуса якоря, градус;Angle of the armature cone, degree;电枢锥角，度
минимальный рабочий воздушный зазор, м;Minimum working air gap, m;最小工作气隙，m
максимально возможное перемещение связанного механического элемента, м;Maximum possible movement of the associated mechanical element, m;相关机械元件的最大可能移动，m
характер действия силы электромагнита на связанный механический элемент;The nature of the action of the electromagnet's force on the associated mechanical elemen;电磁体力对相关机械元件的作用性质
начальное перемещение связанного механического элемента, м;Initial movement of the associated mechanical element, m;相关机械元件的初始运动，m
начальный ток в обмотке,;Initial current in the winding, A;绕组中的初始电流，A
электромагнит;Electromagne;电磁铁
электрическое сопротивление диода в проходном направлении, о;Electrical resistance of the diode in the flow direction, Ohm;二极管在流动方向上的电阻，欧姆
электрическое сопротивление диода в запирающем направлении, о;Electrical resistance of the diode in the locking direction, Ohm;锁定方向二极管的电阻，欧姆
электрическое сопротивление нагрузки, ом;Electrical load resistance, Ohm;电气负载电阻，欧姆
температура рабочей среды в полости, градусы цельси;Temperature of the working medium in the cavity, degrees Celsiu;腔体内工作介质温度，摄氏度
массовый расход рабочей среды в полость, кг/с;Mass flow of the working medium into the cavity, kg / s;进入腔体的工作介质质量流量，kg/s
абсолютное давление рабочей среды в источнике, па;Absolute pressure of the working medium in the source, Pa;源内工作介质的绝对压力，Pa
температура рабочей среды в источнике, к;The temperature of the working medium in the source, K;源内工质温度，K
верхнее ограничение по абсолютному давлению рабочей среды в полости, па;The upper limit on the absolute pressure of the working medium in the cavity, P;腔内工作介质绝对压力的上限，P
массовый расход рабочей среды из полости, кг/с;Mass flow of the working medium from the cavity, kg / s;来自腔体的工作介质的质量流量，kg/s
нижнее ограничение по абсолютному давлению рабочей среды в полости, па;Lower restriction on the absolute pressure of the working medium in the cavity, P;腔内工作介质绝对压力的下限，P
объемный расход рабочей среды в полость, л/мин;Volume flow of working medium into the cavity, l / min;进入腔体的工作介质体积流量，l/min
температура рабочей среды в источнике, градусы цельси;Temperature of the working medium in the source, degrees Celsiu;源内工作介质温度，摄氏度
объемный расход рабочей среды из полости, л/мин;Volume flow of working medium from the cavity, l / mi;来自腔体的工作介质的体积流量，l/mi
модуль объемной упругости рабочей сред;The bulk modulus of the working mediu;工作介质的体积模量
верхнее ограничение по абсолютному давлению, п;Upper limit on absolute pressure, Pa;绝对压力上限，Pa
значения p, t, g, hg;The values ​​of p, T, G, hG;p、T、G、hG 的值
значения p, dw_dt;The values ​​of p, dW_dt;p、dW_dt的值
значения p, t, g;The values ​​of p, T, G;p、T、G的值
вектор значений аргумента (x, м или t, сек или p, па или др.) функции площади проходного сечения дросселя;The vector of the values ​​of the argument (x, m or t, sec or p, Pa, etc.) of the function of the area of ​​the throttle passag;节流通道面积函数的参数值（x、m 或 t、sec 或 p、Pa 等）向量
начальная масса механического элемента, к;Initial mass of the mechanical element, k;机械元件的初始质量，k
минимальная масса механического элемента, к;Minimum mass of mechanical element, kg;机械元件的最小质量，kg
усилие от позиционной нагрузки (от действия упругих элементов) при нулевом перемещении механического элемента, н;The force from the positional load (from the action of the elastic elements) with zero displacement of the mechanical element,;机械元件零位移时来自位置负载（来自弹性元件的作用）的力，
эквивалентная жесткость упругих элементов, н/;Equivalent rigidity of elastic elements, N /;弹性元件当量刚度，N /
начальная скорость механического элемента, м/;Initial speed of the mechanical element, m /;机械元件初速度，m/
минимально возможное перемещение механического элемента, м;Minimal possible movement of the mechanical element,;机械元件的尽可能最小的移动，
максимально возможное перемещение механического элемента, м;Maximum possible movement of the mechanical element, m;机械元件的最大可能移动，m
сила сухого трения движения,;The strength of dry friction motion,;干摩擦运动的强度，
сила сухого трения страгивания, н;The strength of dry friction friction, H;干摩擦摩擦力，H
масса механического элемента, кг;Weight of mechanical element, k;机械元件的重量，k
коэффициент согласования реального и теоретического расходов;Coefficient of reconciling real and theoretical cost;实际成本与理论成本的协调系数
площадь живого сечения канала, м^;Area of ​​live channel section, m ^ 2;直播通道截面面积，m^2
приведенный коэффициент гидравлического сопротивления канала при прямом токе, м^-4;The resulted factor of hydraulic resistance of the channel at a direct current, m ^ -4;直流流下渠道水力阻力系数，m^-4
приведенный коэффициент гидравлического сопротивления канала при обратном токе, м^-4;The reduced coefficient of hydraulic resistance of the channel at the reverse current, m ^ -4;逆流时通道水力阻力折减系数，m^-4
коэффициент массового расхода дросселя при прямом токе рабочей среды и турбулентном режиме;Mass flow coefficient of throttle for direct current of working medium and turbulent mode;工质直流、湍流工况节流阀质量流量系数
коэффициент массового расхода дросселя при обратном токе рабочей среды и турбулентном режиме;The coefficient of mass flow of the throttle for the reverse current of the working medium and the turbulent regim;工质逆流及紊流状态下节流阀的质量流量系数
вектор значений смоченного периметра, м;The vector of wetted perimeter values,;湿周长值的向量，
гидравлический диаметр дросселя при прямом токе рабочей среды, м;Hydraulic diameter of throttle with direct current of working medium, m;工作介质直流时节流件水力直径，m
гидравлический диаметр дросселя при обратном токе рабочей среды, м;Hydraulic diameter of the throttle with the return current of the working medium, m;工作介质回流时节流件的水力直径，m
площадь проходного сечения дросселя при прямом токе рабочей среды, м^2;The area of ​​the throttle passage with direct current of the working medium, m ^ 2;工作介质直流流过的节流通道面积，m^2
площадь проходного сечения дросселя при обратном токе рабочей среды, м^2;The area of ​​the throttling passage section at the reverse current of the working medium, m ^ 2;工作介质逆流时节流通道截面面积，m^2
частота вращения кривошипа, об/;Crank rotation frequency, r / sec;曲柄旋转频率，转/秒
длина кривошипа, м;Crank length, m;曲柄长度，米
длина шатуна, м;Length of the connecting rod, m;连杆长度，m
масса тела, кг;Body weight, kg;体重，公斤
материал тела;Body Material;机身材质
начальная средняя термодинамическая температура тела, к;The initial mean thermodynamic temperature of the body,;物体的初始平均热力学温度，
