Источники   ;   Sources   ;   来源
Вид начального порта линии связи   ;   Type of the initial communication port   ;   初始通讯端口类型
Вид конечного порта линии связи   ;   Type of the final communication port   ;   最终通讯端口类型
Направленная   ;   Directional   ;   定向
Цвет фона субмодели   ;   Sub-model background color   ;   子模型背景颜色
Закрыть субмодель   ;   Close submodel   ;   关闭子模型
Имя файла субмодели   ;   Filename of submodel   ;   子模型的文件名
Активная модель   ;   Active model   ;   主动模型
Способ ассоциирования портов   ;   Port association method   ;   端口关联方式
Таблица базы данных   ;   Database table   ;   数据库表
Заморозить порты субмодели   ;   Freeze the submodel ports   ;   冻结子模型端口
Интерпретируемый скрипт   ;   Interpreted script   ;   解释脚本
Распечатывать субмодель   ;   Print out submodel   ;   打印出子模型
Обновлять имя файла субмодели   ;   Update submodel file name   ;   更新子模型文件名
Добавлять неактивные порты субмодели   ;   Add inactive sub-model ports   ;   添加非活动子模型端口
Шаг точности   ;   Precision step   ;   精密步进
Количество портов   ;   Number of ports   ;   端口数量
Массив размерностей выходов   ;   Array of dimensions of outputs   ;   输出维度数组
Количество строк матрицы   ;   Number of rows in the matrix   ;   矩阵的行数
Коэффициенты размножения   ;   Reproduction factors   ;   繁殖因素
Тип выборки   ;   Type of sample   ;   样品类型
Номера элементов (ручная выборка)   ;   Item numbers (manual selection)   ;   商品编号（手动选择）
Параметр N   ;   Parameter N   ;   参数N
Вектор коэффициентов усиления   ;   The gain vector   ;   增益向量
Весовые коэффициенты входов   ;   Weighing coefficients of inputs(   ;   输入的加权系数(
Суммировать через (количество элементов)   ;   Sum through (number of elements)   ;   总和（元素数量）
Число строк в матрице   ;   Number of rows in the matrix   ;   矩阵的行数
Число столбцов в матрице   ;   Number of columns in the matrix   ;   矩阵中的列数
Матрица запакована по   ;   The matrix is packed in   ;   矩阵被封装在
Матрицу распаковать по   ;   Unpack the   ;   打开包装
Матрица распакована по   ;   The matrix is unpacked by   ;   矩阵解压缩为
Матрицу запаковать по   ;   Matrix to pack by   ;   打包矩阵
Количество  строк матрицы 1   ;   Number of rows in matrix 1   ;   矩阵 1 中的行数
Количество столбцов матрицы 1   ;   Number of columns of matrix 1   ;   矩阵1的列数
Количество строк матрицы 2   ;   Number of rows of matrix 2   ;   矩阵2的行数
Количество столбцов матрицы 2   ;   Number of columns of matrix 2   ;   矩阵2的列数
Количество строк   ;   Number of lines   ;   行数
Количество столбцов   ;   Number of columns   ;   列数
Показатель степени   ;   Exponent   ;   指数
Количество столбцов матрицы   ;   Number of matrix columns   ;   矩阵列数
Количество строк и столбцов матрицы(   ;   Number of rows and columns of the matrix   ;   矩阵的行数和列数
Заданная пользователем матрица   ;   User-Defined Matrix   ;   用户定义的矩阵
Блокировка доступа   ;   Blocking access   ;   阻止访问
Тип линии связи   ;   Type of communication line   ;   通讯线类型
Фильтр варианта порта   ;   Port Option Filter   ;   端口选项过滤器
Константа если не подключен   ;   Constant if not connected   ;   如果未连接则恒定
Значение по умолчанию   ;   Default value   ;   默认值
Шрифт таблицы   ;   Table font   ;   表格字体
Расположение портов   ;   Location of ports   ;   港口位置
Тип связи   ;   Type of connection   ;   连接类型
Тип соединителя   ;   Connector Type   ;   连接器类型
Имена контактов   ;   Contact names   ;   联系人姓名
Флаг последнего перехода   ;   Flag of last transition   ;   最后一次转换的标志
Имя страницы-приемника   ;   Receiver page name   ;   接收者页面名称
Название перехода   ;   Name of the transition   ;   过渡名称
Имя свойства   ;   Property name   ;   物业名称
Игнорировать вышестоящее условие   ;   Ignore the parent condition   ;   忽略父条件
Лево   ;   Left   ;   左边
Верх   ;   Top   ;   顶部
Текст собственно   ;   The text itself   ;   文字本身
Отображаемое значение   ;   Displayed value   ;   显示值
Шрифт   ;   Font   ;   字体
Формат числа   ;   Number Format   ;   数字格式
Кол-во знаков после запятой   ;   Number of decimal places   ;   小数位数
Кол-во значащих цифр   ;   Number of significant digits   ;   有效位数
Положение точки вставки   ;   Insertion point position   ;   插入点位置
Стиль выравнивания   ;   Alignment style   ;   对齐方式
Межсимвольный интервал   ;   Character spacing   ;   字符间距
Межстрочный интервал   ;   Line spacing   ;   行距
Версия в коде   ;   Version in code   ;   代码中的版本
Номер версии   ;   Version number   ;   版本号
Имена сигналов   ;   Signal names   ;   信号名称
Рассчитывать с задержкой на шаг   ;   Calculate with a delay of one step   ;   延迟一步计算
Автосброс   ;   Auto Reset   ;   自动重置
Порт для сортировки   ;   Port for sorting   ;   分拣端口
Транслировать в исполнительную систему   ;   Cast to the executive system7   ;   投向执行系统7
Использовать сам сигнал как значение выхода при отладке7   ;   Use the signal itself as the output value for debugging7   ;   使用信号本身作为调试的输出值7
Максимальное кол-во отображаемых символов имени сигнала   ;   Maximum number of displayed signal name symbols   ;   显示信号名称符号的最大数量
Выбор максимума (ИЛИ)   ;   Selecting the maximum (OR)   ;   选择最大值（或）
Транслировать из исполнительной системы   ;   Broadcast from the executive system   ;   执行系统广播
Порт условия записи сигналов   ;   Signal recording condition port   ;   信号记录条件端口
Перезаписать сигнал после рестарта   ;   Overwrite signal after restart   ;   重启后覆盖信号
Перезаписать сигнал при инициализации   ;   Overwrite signal when initializing   ;   初始化时覆盖信号
Названия сигналов   ;   Signal names   ;   信号名称
Имена систем   ;   System names   ;   系统名称
Имена параметров   ;   Parameter names   ;   参数名称
Номера параметров   ;   Parameter Numbers   ;   参数编号
Показывать номера строк   ;   Show line numbers   ;   显示行号
Показывать номера   ;   Show numbers   ;   显示数字
Показывать названия   ;   Show titles   ;   显示标题
Показывать имена систем   ;   Show System Names   ;   显示系统名称
Показывать имена параметров   ;   Show parameter names   ;   显示参数名称
Показывать имена сигналов   ;   Show signal names   ;   显示信号名称
Первая строка - шапка   ;   The first line is the header   ;   第一行是标题
Имя категории для алгоритмов   ;   Category name for algorithms   ;   算法的类别名称
Тип выходных данных для алгоритмов   ;   Type of output for algorithms   ;   算法的输出类型
Режим много сигналов-один порт   ;   Multiple signal mode-one port   ;   多信号模式-一端口
Разделитель имени алгоритма и сигнала   ;   Separator of algorithm name and signal name   ;   算法名称和信号名称的分隔符
Имя свойства используемого для имени алгоритма   ;   The name of the property of the algorithm used for the name)   ;   用于名称的算法的属性名称）
Использовать стандартный редактор свойств   ;   Use the standard property editor   ;   使用标准属性编辑器
Рисовать вертикальные разделители   ;   Draw Vertical SeparatorsA   ;   绘制垂直分隔符A
Автоматически изменять высоту блока при добавлении/удалении строк   ;   Automatically change block height when adding / removing rows   ;   添加/删除行时自动更改块高度
Автоматически изменять ширину блока   ;   Automatically change the width of the block   ;   自动改变块的宽度
Имя алгоритма   ;   The name of the algorithm   ;   算法名称
Имя контакта   ;   Contact name   ;   联系人姓名
Тип контакта   ;   Contact Type   ;   触点类型
Формат имени переменной   ;   Variable name format   ;   变量名称格式
Добавить в базу сигналов   ;   Add to signal database   ;   添加到信号数据库
Запрос на имя из базы   ;   Request for a name from the database   ;   从数据库请求名称
Автоматически сбрасывать   ;   Automatically reset   ;   自动复位
Операция для нескольких контактов   ;   Operation for several contacts   ;   多个联系人的操作
Функциональный план   ;   Functional plan   ;   功能规划
Отлаживаемый компонент   ;   The debugable component   ;   可调试组件
Описание входа (не более 65 символов)   ;   Input description (up to 65 characters)   ;   输入描述（最多65个字符）
Дополнительное описание   ;   Additional description   ;   附加说明
Единица измерения   ;   unit of measurement   ;   计量单位
Имя глобала   ;   The name of the global   ;   全球名称
Дополнительный шаблон для файла DBM   ;   An additional template for the DBM file   ;   DBM 文件的附加模板
Суммарный вектор входов   ;   Total input vector   ;   总输入向量
Применять операцию ИЛИ   ;   Apply the OR operation   ;   应用或运算
Описание выхода (не более 65 символов)   ;   Output description (no more than 65 characters)   ;   输出描述（不超过65个字符）
Тип датчика   ;   Sensor type   ;   传感器类型
Общее кол-во знаков   ;   Total number of characters   ;   总字符数
Описание датчика   ;   Sensor Description   ;   传感器说明
Значение датчика   ;   Sensor value   ;   传感器值
Имена загружаемых DLL   ;   The names of the DLLs to load   ;   要加载的 DLL 的名称
Имена оборудования   ;   Equipment Names   ;   设备名称
Имена файлов проектов для отладки   ;   Project file names for debugging1   ;   用于调试的项目文件名1
Создавать по умолчанию не существующие переменные   ;   Create default variables that do not exist   ;   创建不存在的默认变量
Количество потоков   ;   Number of threads   ;   线程数
Количество входных портов   ;   Number of input ports   ;   输入端口数量
Тип операции   ;   Type of transaction   ;   交易类型
Исходные данные   ;   Initial data   ;   初始数据
Максимальная частота вращения, об/мин   ;   Maximum speed, rpm   ;   最大速度，转/分
Расходная характеристика   ;   Flow characteristic   ;   流量特性
Характеристика КПД   ;   Characteristics of efficiency   ;   效率特点
Границы устойчивости   ;   Stability boundaries   ;   稳定边界
Запасы вдоль дроссельной линии   ;   Reserves along the throttle line   ;   沿油门线的储备
Начальные условия   ;   Initial conditions   ;   初始条件
Частота вращения, об/мин   ;   Rotational speed, rpm   ;   转速，转/分
Полная температура на выходе, К   ;   Total outlet temperature, K   ;   总出口温度，K
Полное давление на выходе, кг/см   ;   Total outlet pressure, kg / cm   ;   总出口压力，公斤/厘米
Расход воздуха в наружный контур, кг/с   ;   Air consumption in the external circuit, kg / s   ;   外回路耗气量，kg/s
Входные параметры   ;   Input parameters   ;   输入参数
Полная температура на входе, К   ;   Full inlet temperature, K   ;   完全入口温度，K
Полное давление на входе, кг/см   ;   Total inlet pressure, kg / cm   ;   总入口压力，公斤/厘米
Угол установки направляющих аппаратов, град   ;   Angle of installation of guiding devices, deg   ;   导向装置安装角度，deg
Коэффициент отбора   ;   Coefficient of selection   ;   选择系数
Текущая частота вращения, об/мин   ;   Current speed, rpm   ;   当前速度，rpm
Давление на выходе, кг/см   ;   Outlet pressure, kg / cm   ;   出口压力，公斤/厘米
Температура на выходе, К   ;   Outlet temperature, K   ;   出口温度，K
Давление на входе, кг/см   ;   Inlet pressure, kg / cm   ;   入口压力，公斤/厘米
Коэффициент отбора воздуха   ;   Air bleed rate   ;   排气率
Температура на входе, К   ;   Inlet temperature, K   ;   入口温度，K
Тип сортировки   ;   Sorting type   ;   排序类型
Типы выходов   ;   Types of outputs   ;   输出类型
Заголовок модуля   ;   Module header   ;   模块头
Секция декларации переменных   ;   Variable Declaration Section   ;   变量声明部分
Основная секция кода   ;   Main section of the code   ;   代码的主要部分
Секция запоминания состояний   ;   State storage section   ;   状态存储部分
Декларации переменных DBM   ;   Declarations of DBM variables   ;   DBM 变量的声明
Значения переменных по умолчанию   ;   Default Variables Values   ;   默认变量值
Код вычисления производных   ;   Derivation Code(   ;   推导代码(
Код вычисления алгебраических переменных(   ;   Code for calculating algebraic variables   ;   计算代数变量的代码
Код остановки задачи   ;   Task Stop Code(   ;   任务停止代码(
Транслировать скрипт в код автоматически3   ;   To translate the script into the code automatically   ;   自动将脚本翻译成代码
Вход 1   ;   Input 1   ;   输入1
Вход 2   ;   Input 2   ;   输入2
Количество графиков   ;   Number of graphs   ;   图表数量
Шаг записи значения   ;   Write value step   ;   写入值步骤
Число входов   ;   Number of inputs   ;   输入数量
Формат записи   ;   Recording format   ;   录音格式
Режим оптимизации параметров   ;   Parameter optimization modeG   ;   参数优化模式G
Периодичность анализа критериев оптимизации при расчёте в динамике, секT   ;   Periodicity of analysis of optimization criteria in the calculation in dynamics, sec   ;   动力学计算中优化标准分析的周期，秒
Начальное приближение выходов блока1   ;   Initial approximation of the outputs of the block   ;   块输出的初始近似值
Минимальные значения выходов блока   ;   Minimum values of the outputs of the block   ;   块输出的最小值
Максимальные значения выходов блока0   ;   The maximum values of the outputs of the block   ;   块输出的最大值
Абсолютная точность подбора значений выходов   ;   Absolute accuracy of selection of output values   ;   输出值选择的绝对精度
Начальное приращение выходов   ;   Initial increment of outputs2   ;   输出初始增量2
Минимальные значения входных критериев оптимизации   ;   Minimum values of input optimization criteria3   ;   输入优化标准的最小值3
Максимальные значения входных критериев оптимизации   ;   Maximum values of input optimization criteria   ;   输入优化标准的最大值
Тип суммарного критерия оптимизации   ;   Type of summary optimization criterion   ;   汇总优化标准的类型
Метод оптимизации   ;   Optimization method   ;   优化方法
Максимальное количество повторных моделирований при расчёте по полному переходному процессу\   ;   The maximum number of repeated simulations in the calculation of the total transient process(   ;   总瞬态过程计算中重复模拟的最大次数(
Выдача информации о процессе оптимизации6   ;   Issuance of information about the optimization process   ;   发布有关优化过程的信息
Относительное приращение для Якобиана   ;   The relative increment for the Jacobian   ;   雅可比行列式的相对增量
Абсолютное приращение для Якобиана   ;   Absolute increment for the Jacobian   ;   雅可比行列式的绝对增量
Режим расчёта характеристик   ;   Mode of calculation of characteristics   ;   特性计算方式
Шаг перерасчёта характеристик, сек   ;   Step of performance recalculation, sec   ;   性能重新计算的步骤，秒
Числитель W(s)   ;   The numerator W (s)   ;   分子 W (s)
Знаменатель W(s)   ;   The denominator W (s)   ;   分母W(s)
Нули (корни уравнения N(s) = 0)   ;   Zeros (the roots of the equation N (s) = 0)   ;   零点（方程 N (s) = 0 的根）
Полюсы (корни уравнения L(s) = 0)   ;   The poles (the roots of the equation L (s) = 0)   ;   极点（方程 L (s) = 0 的根）
Матрица A (собственная матрица)   ;   The matrix A (the eigenvector)   ;   矩阵 A（特征向量）
Матрица B (матрица входов)   ;   Matrix B (matrix of inputs)   ;   矩阵 B（输入矩阵）
Матрица C (матрица выходов)   ;   Matrix C (matrix of outputs)   ;   矩阵 C（输出矩阵）
Матрица D (матрица обхода)   ;   Matrix D (bypass matrix)   ;   矩阵D（旁路矩阵）
Значения X   ;   The values of X   ;   X 的值
Значения Y   ;   The values of Y   ;   Y 的值
Типы характеристик   ;   Types of characteristics   ;   特征类型
Показать полюса системы   ;   Show system poles   ;   显示系统极点
Показать нули системы   ;   Show System Zeros   ;   显示系统零点
Начальная круговая частота, 1/с   ;   Initial circular frequency, 1 / s   ;   初始循环频率，1/s
Конечная круговая частота, 1/с   ;   Final circular frequency, 1 / s   ;   最终循环频率，1/s
Количество точек вывода   ;   Number of output points   ;   输出点数
Показать расчётные параметры системы)   ;   Show calculation parameters of the system   ;   显示系统的计算参数
Количество интервалов АЧХ   ;   Number of frequency response intervals   ;   频率响应间隔数
Минимальная частота   ;   Minimum frequency   ;   最低频率
Максимальная частота   ;   Maximum frequency   ;   最大频率
Размерность частоты   ;   Frequency dimension   ;   频率维度
Закон изменения частоты   ;   Law of frequency variation   ;   频率变化规律
Количество периодов стабилизации   ;   Number of stabilization periods   ;   稳定期数
Коэффициент повышения к-ва периодов с частотой   ;   The coefficient of increase of k-va periods with frequency   ;   k-va周期随频率的增加系数
Амплитуда сигнала   ;   Signal Amplitude   ;   信号幅度
Размерность ФЧХ   ;   PSC dimension   ;   PSC尺寸
Размерность АЧХ   ;   Frequency response   ;   频率响应
Минимум АЧХ для логарифма   ;   Minimum frequency response for the logarithm   ;   对数的最小频率响应
Свободный член, в формуле a+b·x   ;   The free term, in the formula a + b · x   ;   自由项，在公式 a + b · x 中
Коэффициент при x   ;   Coefficient at x)   ;   x) 处的系数
Свободный член, в формуле a0+a1·x+a2·x2   ;   The free term in the formula a0 + a1 · x + a2 · x2   ;   公式中的自由项 a0 + a1 · x + a2 · x2
Амплитуда, в формуле a·sin[w·x(t) + f]5   ;   The amplitude, in the formula a · sin [w · x (t) + f]   ;   幅度，公式为a·sin[w·x(t)+f]
Тип функции   ;   Feature Type   ;   特征类型
Амплитуда, в функции a·arcsin[w·x(t)+f]9   ;   The amplitude, in the function a · arcsin [w · x (t) + f]   ;   函数 a · arcsin [w · x (t) + f] 中的幅度
Амплитуда, в функции a·arccos[w·x(t)+f]9   ;   The amplitude, in the function a · arccos [w · x (t) + f]   ;   函数 a · arccos [w · x (t) + f] 中的幅度
Амплитуда, в функции a·arctg[w·x(t)+f]8   ;   The amplitude, in the function a · arctg [w · x (t) + f]   ;   函数 a · arctg [w · x (t) + f] 中的幅度
Амплитуда, в функции a·arcctg[w·x(t)+f]9   ;   The amplitude, in the function a · arcctg [w · x (t) + f]   ;   函数 a · arcctg [w · x (t) + f] 中的幅度
Амплитуда, в функции a·sh[w·x(t)+f]5   ;   The amplitude, in the function a · sh [w · x (t) + f]   ;   函数 a · sh [w · x (t) + f] 中的幅度
Амплитуда, в функции a·ch[w·x(t)+f]5   ;   The amplitude, in the function a · ch [w · x (t) + f]   ;   幅度，在函数 a · ch [w · x (t) + f] 中
Амплитуда, в функции a·th[w·x(t)+f]5   ;   The amplitude, in the function a · th [w · x (t) + f]   ;   函数 a · th [w · x (t) + f] 中的幅度
Амплитуда, в функции a·cth[w·x(t)+f]6   ;   The amplitude, in the function a · cth [w · x (t) + f]   ;   函数 a · cth [w · x (t) + f] 中的幅度
Основание степени в функции a^[b·x(t)]7   ;   The basis of the degree in the function a ^ [b · x (t)]   ;   函数a^[b·x(t)]中次数的基础
Коэффициент в степени   ;   Coefficient in degree   ;   度系数
Множитель в функции a·x^[b·x]0   ;   The multiplier in the function a · x ^ [b · x]   ;   函数 a · x ^ [b · x] 中的乘数
Амплитуда, в функции a·ln[w·x(t)+f]5   ;   The amplitude, in the function a · ln [w · x (t) + f]   ;   函数 a · ln [w · x (t) + f] 中的幅度
Амплитуда, в функции a·lg[w·x(t)+f]5   ;   The amplitude, in the function a · lg [w · x (t) + f]   ;   函数 a · lg [w · x (t) + f] 中的幅度
Значение выхода при x <= 0   ;   The output value for x <= 0   ;   x <= 0 的输出值
Нижняя граница аргумента   ;   Lower bound of argument   ;   参数下限
Верхняя граница аргумента   ;   The upper bound of the argument   ;   参数的上限
Нижнее значение функции   ;   The lower value of the function   ;   函数的较低值
Верхнее значение функции   ;   The upper value of the function   ;   函数的上限值
Нижняя граница ограничения   ;   Lower bound limit   ;   下限
Нижняя граница зоны нечувсвительности)   ;   The lower limit of the insensitivity zone   ;   不敏感区下限
Верхняя граница зоны нечувствительности   ;   Upper limit of the dead zone   ;   死区上限
Верхняя граница ограничения   ;   Upper limit of the constraint   ;   约束上限
Нижняя граница переключения   ;   Lower switching limit   ;   开关下限
Верхняя граница переключения   ;   Upper switching limit   ;   开关上限
Начальные условия (0   ;   The initial conditions (0   ;    1)
Исполнять на промежуточных шагах   ;   Perform in intermediate steps   ;   按中间步骤执行
Нижняя граница зоны нечувствительности   ;   Lower limit of deadband   ;   死区下限
Начальные условия (-1=Y1   ;   The initial conditions (-1 = Y1   ;   初始条件 (-1 = Y1
Максимальное значение производной   ;   The maximum value of the derivative   ;   导数的最大值
К при x < x   ;   K for x <x   ;   K 为 x <x
K при x > x   ;   K for x> x   ;   K 为 x> x
Точка излома   ;   Breakpoint   ;   断点
Половина ширины зоны зазора   ;   Half gap width   ;   半间隙宽度
Половина ширины люфта   ;   Half Backlash Width   ;   半间隙宽度
Шаг квантования   ;   Quantization step   ;   量化步长
Условие срабатывания   ;   Trigger condition   ;   触发条件
Вектор длительностей импульсов   ;   Vector of pulse durations   ;   脉冲持续时间向量
Вектор значений нейтрального состояния   ;   Vector of neutral state values   ;   中性状态值的向量
Развязка алгебраических петель   ;   Decoupling of algebraic loops   ;   代数环的解耦
Уставка   ;   Setpoint   ;   设定值
Зона возврата   ;   Return zone   ;   返回区
Уровень пересечения   ;   Intersection level0   ;   交叉口级别0
Указатель направления перехода (1 вниз,-1 вверх)9   ;   The direction indicator of the transition (1 down, -1 up)   ;   过渡的方向指示器（1 向下，-1 向上）
Временная точность перехода   ;   Time accuracy of the transition   ;   转换的时间精度
Порог срабатывания   ;   Threshold   ;   临界点
Верхний предел   ;   Upper limit   ;   上限
Нижний предел   ;   lower limit   ;   下限
Зона нечувствительности   ;   Deadband   ;   死区
Длительность импульса, с   ;   Pulse width, s   ;   脉冲宽度，s
Длительность паузы, с   ;   Pause time, s   ;   暂停时间，s
Вектор значений аргумента   ;   Vector of argument values   ;   参数值向量
Вектор значений функции   ;   The value vector of the function   ;   函数的值向量
Экстраполировать границы   ;   Extrapolate borders   ;   推断边界
Матрица аргументов по размерностям   ;   Matrix of arguments by dimensions   ;   按维度划分的参数矩阵
Метод интерполяции   ;   Interpolation method   ;   插值法
Способ интерполяции   ;   Interpolation method   ;   插值法
Порядок интерполяции   ;   Interpolation order   ;   插补顺序
Индекс начала интерполяции   ;   Index of interpolation start   ;   插补开始索引
Функция формы   ;   Form function   ;   表单功能
Порядок аппроксимации   ;   The order of approximation   ;   近似阶数
Число точек аппроксимируемой функции7   ;   The number of points of the function to be approximated   ;   待逼近函数的点数
Коэффициенты усиления   ;   Gain factors   ;   增益系数
Постоянные времени   ;   Constant time   ;   恒定时间
Число переменных состояния   ;   Number of state variables   ;   状态变量数量
Число входных воздействий   ;   Number of input influences   ;   输入影响的数量
Число выходов   ;   Number of outputs   ;   输出数量
Матрица A(Nx*Nx)   ;   The matrix A (Nx * Nx)   ;   矩阵 A (Nx * Nx)
Матрица B(Nu*Nx)   ;   The matrix B (Nu * Nx)   ;   矩阵 B (Nu * Nx)
Матрица C(Nx*Ny)   ;   The matrix C (Nx * Ny)   ;   矩阵 C (Nx * Ny)
Матрица D(Nu*Ny)   ;   The matrix D (Nu * Ny)   ;   矩阵D（No * N）
Начальные условия (Nx)   ;   The initial conditions (Nx)   ;   初始条件 (Nx)
Коэффициент демпфирования   ;   Coefficient of damping   ;   阻尼系数
Начальные условия по производной   ;   Initial conditions on the derivative   ;   导数的初始条件
Время запаздывания   ;   Delay time   ;   延迟时间
Шаг дискретизации задержки, сек   ;   Sample latency, sec   ;   样本延迟，秒
Способ инициализации   ;   Initialization method   ;   初始化方法
Начальный размер буфера   ;   Initial buffer size   ;   初始缓冲区大小
Максимальный размер буфера   ;   Maximum buffer size   ;   最大缓冲区大小
Фиксированный размер буфера   ;   Fixed buffer size   ;   固定缓冲区大小
Коэффициенты числителя   ;   The coefficients of the numerator   ;   分子的系数
Коэффициенты знаменателя   ;   The denominator coefficients   ;   分母系数
Постоянная времени T   ;   The time constant T   ;   时间常数T
Весовые коэффициенты   ;   Weights   ;   重量
Способ сброса   ;   Reset method   ;   复位方法
Брать начальное условие из   ;   Take the initial condition from6   ;   取初始条件6
Массив верхних пределов (если пустой принимается 2*pi)   ;   An array of upper limits (if empty is assumed to be 2 * pi)   ;   上限数组（如果为空则假定为 2 * pi）
Вектор постоянных распада   ;   Vector of permanent decay   ;   永久腐烂的载体
Дополнительные входы   ;   Additional inputs   ;   附加输入
Начальные условия берутся из   ;   The initial conditions are taken from   ;   初始条件取自
Число переменных   ;   Number of variables   ;   变量数量
Начальные состояния   ;   Initial states   ;   初始状态
Постоянная демпфирования   ;   Constant damping   ;   恒定阻尼
Число   ;   Number   ;   数字
Фиксация кнопки   ;   Button lock   ;   按钮锁
Значение на выходе   ;   Output value   ;   产值
Позиция   ;   Position   ;   位置
Уставка (порог)   ;   Set point (threshold)   ;   设定点（阈值）
Подпороговое значение на выходе   ;   Subthreshold output value   ;   亚阈值输出值
Уставка первого выхода   ;   First output setting   ;   第一个输出设置
Уставка второго выхода   ;   Second output setting   ;   第二输出设定
Начальное значение 1-го выхода   ;   Initial value of the 1st output   ;   第一个输出的初始值
Начальное значение 2-го выхода   ;   Initial value of the 2nd output   ;   第二个输出的初始值
Значения уставок   ;   Setting values   ;   设定值
Тип управляющего сигнала   ;   Type of control signal   ;   控制信号类型
Уставка (порог) по времени   ;   Time threshold (threshold)   ;   时间阈值（阈值）
Управление   ;   Control   ;   控制
Количество сигнальных портов   ;   Number of signal ports   ;   信号端口数量
Список сигналов   ;   Signal list   ;   信号列表
Нижнее значение True для входов   ;   The lower value of True for inputs   ;   输入 True 的较低值
Значение True   ;   Meaning True   ;   意义真实
Значение False   ;   False   ;   错误的
Тип второго операнда   ;   Type of second operand   ;   第二个操作数的类型
Тип операнда   ;   Type of operand   ;   操作数类型
Число входных True для срабатывания   ;   The number of input True for triggering3   ;   输入 True 触发数量3
Начальный номер активного элемента входного вектора   ;   The start number of the active element of the input vector   ;   输入向量的活动元素的起始编号
Размерность выходного вектора   ;   The dimension of the output vector   ;   输出向量的维度
Нижний предел нечувствительности   ;   Lower limit of insensitivity   ;   不敏感下限
Верхний предел нечувствительности   ;   Upper limit of insensitivity   ;   不敏感上限
Счётчик если вход   ;   Counter if input   ;   如果输入则计数器
Вход сброса   ;   Reset input   ;   复位输入
Тип входа сброса   ;   Type of reset input   ;   复位输入类型
Номера записываемых битов   ;   Recorded Bit Numbers   ;   记录位数
Добавить инверсный выход   ;   Add inverse output   ;   添加逆输出
Тип счётного входа   ;   Account type   ;   账户类型
Не реагировать при нескольких событиях сразу)   ;   Do not respond to multiple events at once   ;   不要同时响应多个事件
Массив времён подтверждения, сек   ;   Verification time array, sec   ;   验证时间数组，秒
Способ задания времени подтверждения(   ;   Method for setting the confirmation time   ;   设置确认时间的方法
Вывод времени таймера   ;   Timer Timer Output   ;   定时器 定时器输出
Развязывать петли   ;   Unbind loops   ;   解除循环绑定
Времена подтверждения по включению, сек   ;   Confirmation times by power-up, sec(   ;   通电确认时间，秒（
Времена подтверждения по выключению, сек   ;   Confirmation by shutdown, sec   ;   关闭确认，秒
Время до остановки таймера   ;   Time to stop the timer   ;   到了停止计时器的时间了
Длительность   ;   Duration   ;   期间
Длительность импульса, сек   ;   Pulse duration, sec   ;   脉冲持续时间，秒
Длительность задается через   ;   Duration is set via   ;   持续时间通过设置
Значение True для входов   ;   True for inputs   ;   对于输入为真
Значение True для выхода   ;   True to exit   ;   True 则退出
Значение False для выхода   ;   False to exit   ;   错误退出
Вектор времён подтверждения, сек   ;   Verification time vector, sec   ;   验证时间向量，秒
Подтверждение требуется   ;   Confirmation required   ;   需要确认
Тип выхода   ;   Output type   ;   输出类型
Имя переноса для флагов перехода   ;   The migration name for the transition flags   ;   转换标志的迁移名称
Имя переноса для номеров состояний   ;   Migration Name for Status Numbers   ;   状态编号的迁移名称
Имя переноса для текущего состояния   ;   Migration name for the current state1   ;   当前状态1的迁移名称
Имя переноса для фоагов активности путей перехода   ;   The name of the migration for the activity path transition fogs   ;   活动路径转换雾的迁移名称
Блок выбора состояний   ;   State selection block   ;   状态选择块
По умолчанию   ;   Default   ;   默认
Связь состояния   ;   Relationship of state   ;   国家关系
Идентификатор состояния   ;   Status ID   ;   状态ID
Номер соседнего состояния   ;   Number of neighbor state   ;   邻居状态数
Время до перехода в другое состояние, сек   ;   Time before transition to another state, sec   ;   转换到另一个状态之前的时间，秒
Имя реле   ;   Relay name   ;   继电器名称
Состояние реле   ;   Relay status   ;   继电器状态
Время задержки   ;   Delay time   ;   延迟时间
Начальное состояние (0 или 1)   ;   Initial state (0 or 1)   ;   初始状态（0或1）
Сброс состояния   ;   Reset status   ;   重置状态
Пропорциональная составляющая   ;   Proportional component   ;   比例成分
Интегральная составляющая   ;   Integral component   ;   整体组件
Дифференциальная составляющая   ;   Differential component)   ;   微分元件）
Постоянная времени дифференцирования, сек   ;   Time constant of differentiation, s   ;   微分时间常数，s
Метод дискретного интегрирования   ;   Discrete Integration Method   ;   离散积分法
Интервалы дискретизации, сек   ;   Sampling intervals, sec   ;   采样间隔，秒
Размер серии   ;   Series size   ;   系列尺寸
Способ вывода данных   ;   Output method   ;   输出方式
Удалять линейный тренд   ;   Delete linear trend   ;   删除线性趋势
Способ усреднения   ;   Method of averaging   ;   平均法
Минимальное значенние   ;   Minimum value   ;   最小值
Количество интервалов   ;   Number of intervals   ;   间隔数
Способ установки границ интервалов   ;   Method for setting interval boundaries   ;   设置区间边界的方法
Выводимая величина   ;   The output quantity   ;   输出数量
Способ расчёта   ;   Method of calculation   ;   计算方法
Окно фильтрации   ;   Filter Window   ;   过滤窗
Массив коэффицентов   ;   Array of coefficients   ;   系数数组
Порядок фильтра   ;   Filter order   ;   过滤顺序
Тип фильтра   ;   Type of filter   ;   过滤器类型
Частоты среза, Гц   ;   Cutoff frequencies, Hz   ;   截止频率，Hz
